# Doslovny prepis PDF "Priority Ideas" (Mark Gomes), verze z 24. 8. 2026.
# Zdroj nese v hlavicce "For the exclusive use of Mark Gomes" -- nepublikovat ven.
#
# Prepis nemeni zadnou hodnotu. Jedine, co se deje: ze cen se odstranuje "$",
# z procent "%", a data se prevadeji na ISO. Poznamky, "N/A", "#N/A" i preklepy
# jsou doslovne. Prazdne pole = v listu bylo prazdno.
#
# row_id je poradi v PDF, stabilni navzdy, nikdy se nepouzije znovu.
# Radky NEJSOU serazene podle data -- row 156 sedi mimo poradi uz v PDF.
# peak_return_live_pct je text, ne cislo, a je prokazatelne zkazeny splity.
row_id,company,ticker,initial_interest,pause_interest,days,inclination,status,initial_price,final_price,final_change_pct,final_net_change_pct,peak_return_live_pct,latest_notes,footnote
195,"Cantaloupe",CTLP,2022-07-13,2023-05-29,320,Long,CLOSED,5.50,6.29,14,14,N/A,"Open 4:06PM / via Blog (two positions is enough LOL!)",
196,"Cantaloupe #2",CTLP,2022-09-02,2023-05-29,269,Long,CLOSED,5.56,6.29,13,13,N/A,"See the Easy Money Portfolio / via Blog (still LOVE this one!)",
197,"Techprecision",TPCS,2022-09-14,2024-02-16,520,Long,CLOSED,5.76,3.45,-40,-40,87,"Should only have one TPCS entry (the other is below) 2/16",
198,"Cantaloupe",CTLP,2022-09-29,2025-01-03,827,Long,CLOSED,3.54,9.45,167,167,N/A,"See the Easy Money Portfolio",
199,"Cantaloupe #2",CTLP,2022-10-19,2024-02-15,484,Long,CLOSED,3.20,7.00,119,119,N/A,"See the Easy Money Portfolio",
200,"Perma-Fix",PESI,2023-03-10,2024-02-16,343,Long,CLOSED,7.76,8.52,10,10,79,"Made for great trades and +10% as an investment... but Wait Time now!",
201,"Smith Micro",SMSI,2023-03-20,2023-08-11,144,Long,CLOSED,0.98,1.67,70,70,N/A,"Bought more as a trade. Sold the trading shares for a nice profit.",
202,"Quipt Home Medical",QIPT,2023-05-26,2025-01-03,588,Long,CLOSED,5.16,3.01,-42,-42,N/A,"Opened LIVE @ 2:39PM",
203,"OneSoft Solutions",OSSIF,2023-07-07,2024-09-17,438,Long,CLOSED,0.37,0.63,70,70,N/A,"Opened LIVE @ 3:14PM",
204,"Altigen",ATGN,2023-08-11,2025-01-03,511,Long,CLOSED,0.825,0.70,-15,-15,42,"Via StockTwits after my LIVE (3:58PM)",
205,"Nvdia",NVDA,2023-08-18,2025-01-03,504,Long,CLOSED,43.34,144.47,233,233,253,"https://www.youtube.com/watch?v=YKBA_81XenY&t=3486s",[8]
206,"Techprecision",TPCS,2023-09-08,2025-01-03,483,Long,CLOSED,6.74,3.62,-46,-46,14,"""Super Mega Buy""! (StockTwits 10:50AM)",
207,"Iridex",IRIX,2023-09-29,2025-01-03,462,Long,CLOSED,2.10,1.77,-16,-16,74,"Article releaased at 2:00PM ET",
208,"Virtra",VTSI,2023-11-10,2024-02-15,97,Long,CLOSED,4.95,12.36,150,150,161,"Added more LIVE on Nov 10 (already in EZ Money)",
209,"Super Micro (Short)",SMCI,2024-02-16,2024-09-27,224,Short,CLOSED,82.82,41.85,-49,49,48,"https://www.youtube.com/watch?v=RL95M1oYqp8 @ 31:09",[9]
210,"Altigen #2",ATGN,2024-03-15,2025-01-03,294,Long,CLOSED,0.75,0.70,-7,-7,19,"Via Stock Talk LIVE @ 2:20PM",
211,"Gatekeeper",GKPRF,2024-03-22,2025-01-03,287,Long,CLOSED,0.51,0.39,-24,-24,25,"Via Stock Talk LIVE @ 2:45PM",
212,"Alarum",ALAR,2024-04-17,2024-06-27,71,Long,CLOSED,22.26,42.29,90,90,92,"6/27/24 -- No longer interested until further notice.",
213,"Virtra",VTSI,2024-04-26,,850,Long,,12.35,3.13,-75,-75,43,"1/9/26 -- IVAS showing progress; could be good for VTSI's recoil kits.",
214,"Quipt #2",QIPT,2024-05-03,2025-01-03,245,Long,CLOSED,3.84,3.05,-21,-21,N/A,"12/15/25 -- Acquired !",
215,"Evolv",EVLV,2024-05-10,2024-10-31,174,Long,CLOSED,2.11,2.26,7,7,116,"10/31/24 -- R/R says buy. Great product/biz, but CEO had to go. WILL revisit soon.",
216,"Geodrill",GEODF,2024-05-13,,833,Long,,1.56,2.10,35,35,101,"5/13/24 -- Good quarter announced. Bad news is behind us!",
217,"Alarum #2 (Trade)",ALAR,2024-06-18,2024-06-27,9,Long,CLOSED,24.97,34.63,39,39,71,"6/27/24 -- No longer interested until further notice.",
218,"Kraken",KRKNF,2024-06-21,2025-01-03,196,Long,CLOSED,0.703,1.91,172,172,196,"1/3/25 -- Sold most of my shares, but ""afraid"" it will just keep going. Anduril connection!",
219,"TSS Inc.",TSSI,2024-07-10,2025-05-02,296,Long,CLOSED,2.41,8.55,255,255,658,"2/11/25 -- R/R rules say get out around $18-20 !",
220,"Crexendo",CXDO,2024-07-12,,773,Long,,4.00,6.39,60,60,181,"8/12/26 - I've been a strong buyer since earnings around these levels.",
221,"Intermap",ITMSF,2024-07-19,,766,Long,,0.40,0.75,88,88,550,"7/22/25 -- Awaiting binary outcome on Indonesia contract.",
222,"Electrocore",ECOR,2024-10-21,2025-05-02,193,Long,CLOSED,8.01,8.52,6,6,143,"5/2/25 -- Avoid. Not performing as management projected.",
223,"Evolv",EVLV,2024-11-26,2025-01-03,38,Long,CLOSED,3.40,3.97,17,17,37,"1/3/25 -- ""Graduated"" but a great company at the right price (R/R)!",
224,"Gatekeeper",GKPRF,2025-05-16,,465,Long,,0.37,1.29,249,249,508,"8/12/26 - Broke through the 200DMA resistance. Stock should be much higher.",
225,"TSS Inc.",TSSI,2025-05-23,2025-06-06,14,Long,CLOSED,12.55,20.00,59,59,64,"8/12/26 - Bought some as a trade for tomorrow's earnings. Street looks too low, but IDK for sure.",
226,"Intellicheck",IDN,2025-05-23,2025-11-13,174,Long,CLOSED,4.20,6.61,57,57,65,"11/13/25 -- Great earnings last night, but +50% reaction feels too aggressive. Want to rebuy lower.",
227,"Techprecision",TPCS,2025-08-01,,388,Long,,4.15,5.69,37,37,52,"1/9/26 -- Trump pushing for more defense spending.",
228,"IZEA",IZEA,2025-10-10,,318,Long,,3.94,2.99,-24,-24,49,"10/10/25 -- AI should benefit social media influencers greatly.",
229,"Energous",WATT,2026-03-27,2026-08-12,138,Long,CLOSED,14.50,18.36,27,27,155,"8/13/26 - Speaking with Mgt tomorrow AM.",
230,"RADCOM",RDCM,2026-06-18,,67,Long,,12.55,10.32,-18,-18,20,"8/12/26 - I was a strong buyer this AM.",
231,"CVD Equipment",CVV,2026-08-13,,11,Long,,7.27,7.61,5,5,,"8/13/2026 - New priority idea for the research queue.",
